Drug	Chemblid	max_phase	formula	synonyms	canonical
DOBUTAMINE	CHEMBL926	4.0	C18H23NO3	COMPOUND 81929;;;COMPOUND-81929;;;Dobutamine;;;Dobutamine;;;Dobutamine;;;Dobutamine;;;Dobutamine;;;Dobutamine;;;Dobutamine;;;Dobutamine;;;Dobutrex	CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1
CEFDINIR	CHEMBL927	4.0	C14H13N5O5S2	BMY-28488;;;Cefdinir;;;Cefdinir;;;Cefdinir;;;Cefdinir;;;Cefdinir;;;Cefdinir;;;Cefdinir;;;Cefdinir;;;Cefdinir;;;Cefdinir;;;Cefzon;;;CI-983;;;FK 482;;;FK-482;;;Omnicef	C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1
TRYPTOPHAN	CHEMBL54976	4.0	C11H12N2O2	Gppe pdr sach;;;L-tryptophan;;;L-tryptophan;;;NSC-13119;;;Optimax;;;Optimax wv;;;Pacitron;;;Tryptophan;;;Tryptophan;;;Tryptophan;;;Tryptophan;;;Tryptophan;;;Tryptophan;;;Tryptophan;;;Tryptophan, l-	N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
DANTROLENE SODIUM	CHEMBL928	4.0	C14H9N4NaO5	Dantrium;;;Dantrolene sodium;;;Dantrolene sodium;;;Dantrolene sodium;;;Dantrolene sodium;;;Dantrolene sodium;;;Dantrolene sodium;;;Dantrolene sodium;;;Dantrolene sodium;;;Dantrolene sodium hydrate;;;Dantrolene sodium salt hemiheptahydrate;;;F-440;;;Revonto;;;Ryanodex	O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)[N-]1.[Na+]
LONAFARNIB	CHEMBL298734	4.0	C27H31Br2ClN4O2	Lonafarnib;;;Lonafarnib;;;Lonafarnib;;;Lonafarnib;;;Lonafarnib;;;SCH66336;;;SCH 66336;;;SCH-66336;;;Zokinvy	NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1
DELAVIRDINE MESYLATE	CHEMBL929	4.0	C23H32N6O6S2	Delavirdine mesilate;;;Delavirdine mesylate;;;Delavirdine mesylate;;;Delavirdine mesylate;;;Delavirdine methanesulfonate;;;Rescriptor;;;Rescriptor;;;U-90152S;;;U-90152T	CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1.CS(=O)(=O)O
GLUTAMINE	CHEMBL930	4.0	C5H10N2O3	Endari;;;FEMA NO. 3684;;;Glutamine;;;Glutamine;;;Glutamine;;;Glutamine;;;Glutamine;;;Glutamine;;;Glutamine;;;Levoglutamide;;;Levoglutamide;;;L-glutamine;;;L-glutamine;;;NSC-27421;;;Nutrestore	NC(=O)CC[C@H](N)C(=O)O
NIMESULIDE	CHEMBL56367	4.0	C13H12N2O5S	Aulin;;;Nimesulide;;;Nimesulide;;;Nimesulide;;;Nimesulide;;;Nimesulide;;;Nimesulide;;;Nimesulide;;;R 805;;;R-805	CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1
HALOTHANE	CHEMBL931	4.0	C2HBrClF3	Fluothane;;;Halothane;;;Halothane;;;Halothane;;;Halothane;;;Halothane;;;Halothane;;;Halothane;;;Halothane;;;Halothane;;;Rhidialothan	FC(F)(F)C(Cl)Br
DIPYRIDAMOLE	CHEMBL932	4.0	C24H40N8O4	Attia;;;B01AC07;;;Cerebrovase 100;;;Cerebrovase 25;;;Dipyridamole;;;Dipyridamole;;;Dipyridamole;;;Dipyridamole;;;Dipyridamole;;;Dipyridamole;;;Dipyridamole;;;Dipyridamole;;;Dipyridamole;;;Dipyridamole;;;Dipyridamole;;;Iv persantine;;;Modaplate;;;NSC-515776;;;Ofcram pr;;;Persantin;;;Persantine;;;Persantin ret;;;Pyridantin;;;RA-8;;;Vasyrol	OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
METYRAPONE	CHEMBL934	4.0	C14H14N2O	Metopiron;;;Metopirone;;;Metyrapone;;;Metyrapone;;;Metyrapone;;;Metyrapone;;;Metyrapone;;;Metyrapone;;;Metyrapone;;;Metyrapone;;;Metyrapone;;;Metyrapone;;;NSC-25265	CC(C)(C(=O)c1cccnc1)c1cccnc1
DIPHENIDOL	CHEMBL936	4.0	C21H27NO	Difenidol;;;Difenidol;;;Difenidol;;;Difenidol hydrochloride;;;Difenidol hydrochloride;;;Diphenidol;;;Diphenidol;;;Diphenidol;;;Diphenidol;;;SK-478;;;SK&F 478;;;SK&F-478;;;Vontrol;;;Vontrol	OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
DIETHYLCARBAMAZINE CITRATE	CHEMBL937	4.0	C16H29N3O8	Banocide;;;Decacide;;;Diethylcarbamazine Citrate;;;Diethylcarbamazine citrate;;;Diethylcarbamazine citrate;;;Diethylcarbamazine citrate;;;Diethylcarbamazine citrate;;;Difil;;;Dirocide;;;Filarabits;;;Hetrazan;;;Nemacide	CCN(CC)C(=O)N1CCN(C)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O
COPPER	CHEMBL55643	4.0	-	Copper;;;Copper;;;Copper;;;Cu-7;;;Paragard t 380a;;;Tatum-t	-
SARALASIN	CHEMBL938	4.0	C42H65N13O10	Saralasin;;;Saralasin;;;Saralasin	CNCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)O)C(C)C)C(C)C
RITONAVIR	CHEMBL163	4.0	C37H48N6O5S2	A-84538;;;ABBOTT-84538;;;ABBOTT-84538;;;ABT-538;;;Norvir;;;Norvir;;;NSC-693184;;;Ritonavir;;;Ritonavir;;;Ritonavir;;;Ritonavir;;;Ritonavir;;;Ritonavir;;;Ritonavir;;;Ritonavir;;;Ritonavir;;;Ritonavir;;;Ritonavir;;;Ritonavir related compounds mixture	CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
GEFITINIB	CHEMBL939	4.0	C22H24ClFN4O3	Gefitinib;;;Gefitinib;;;Gefitinib;;;Gefitinib;;;Gefitinib;;;Gefitinib;;;Gefitinib;;;Gefitinib;;;Gefitinib;;;Iressa;;;Iressa;;;ZD1839;;;ZD-1839	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
PROFLAVINE	CHEMBL55400	4.0	C13H11N3	Proflavine;;;Proflavine;;;Proflavine;;;Proflavine	Nc1ccc2cc3ccc(N)cc3nc2c1
GABAPENTIN	CHEMBL940	4.0	C9H17NO2	CI-945;;;DM-1796;;;Gabapentin;;;Gabapentin;;;Gabapentin;;;Gabapentin;;;Gabapentin;;;Gabapentin;;;Gabapentin;;;Gabapentin;;;Gabapentin;;;Gabapentin;;;Gabapentin;;;GOE 3450;;;GOE-3450;;;Gralise;;;Neurontin	NCC1(CC(=O)O)CCCCC1
ARTEMOTIL	CHEMBL301267	4.0	C17H28O5	Artemotil;;;Artemotil;;;Artemotil	CCO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3
3,3',4',5-TETRACHLOROSALICYLANILIDE	CHEMBL291338	4.0	C13H7Cl4NO2	3,3',4',5-tetrachlorosalicylanilide	O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O
ERLOSAMIDE	CHEMBL58323	4.0	C13H18N2O3	ADD 243037;;;ADD-243037;;;Erlosamide;;;Erlosamide;;;Lacosamide;;;Lacosamide;;;Lacosamide;;;Lacosamide;;;Lacosamide;;;Lacosamide;;;Lacosamide;;;Lacosamide;;;Lacosamide;;;Lacosamide cv;;;SPM 927;;;SPM-927;;;Vimpat	COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1
IMATINIB	CHEMBL941	4.0	C29H31N7O	Gleevec;;;Imatinib;;;Imatinib;;;Imatinib;;;Imatinib;;;Imatinib;;;Imatinib;;;Imatinib;;;STI-571	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
TROPISETRON	CHEMBL56564	4.0	C17H20N2O2	ICS-205-930;;;Navoban;;;Tropisetron;;;Tropisetron;;;Tropisetron;;;Tropisetron;;;Tropisetron;;;Tropisetron	CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1c[nH]c3ccccc13)C2
PRAMIPEXOLE	CHEMBL301265	4.0	C10H17N3S	Mirapexin;;;Neliprax;;;Oprymea;;;Pipexus;;;Pramipexole;;;Pramipexole;;;Pramipexole;;;Pramipexole;;;Pramipexole;;;Pramipexole;;;Pramipexole;;;SUD919CL2Y;;;SUD-919CL2Y;;;U-98528E	CCCN[C@H]1CCc2nc(N)sc2C1
BISACODYL	CHEMBL942	4.0	C22H19NO4	Biolax;;;Bisacodyl;;;Bisacodyl;;;Bisacodyl;;;Bisacodyl;;;Bisacodyl;;;Bisacodyl;;;Bisacodyl;;;Bisacodyl;;;Bisacodyl;;;Bisacodyl;;;Correctol tablets, caplets;;;Dulcodos;;;Dulcolax;;;Entrolax;;;Feen-a-mint tablets;;;Sk-bisacodyl;;;Theralax	CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
CHLOROPROCAINE HYDROCHLORIDE	CHEMBL944	4.0	C13H20Cl2N2O2	Ampres;;;Chloroprocaine HCl;;;Chloroprocaine hydrochloride;;;Chloroprocaine hydrochloride;;;Chloroprocaine hydrochloride;;;Chloroprocaine hydrochloride;;;Chloroprocaine hydrochloride;;;Chloroprocaine hydrochloride;;;Chlorprocaine chloride;;;Clorotekal;;;Nesacaine;;;Nesacaine-mpf	CCN(CC)CCOC(=O)c1ccc(N)cc1Cl.Cl
AMILORIDE	CHEMBL945	4.0	C6H8ClN7O	Amiloride;;;Amiloride;;;Amiloride;;;Amiloride;;;Amiloride;;;Amiloride;;;Hydro-Ride;;;Midamor	N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
AZATADINE	CHEMBL946	4.0	C20H22N2	Azatadine;;;Azatadine;;;Azatadine;;;Azatadine;;;Optimine;;;Trinalin	CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1
CHLOROQUINE PHOSPHATE	CHEMBL58510	4.0	C18H32ClN3O8P2	Aralen;;;Avloclor;;;Chloroquine Diphosphate;;;Chloroquine diphosphate;;;Chloroquine diphosphate;;;Chloroquine Phosphate;;;Chloroquine phosphate;;;Chloroquine phosphate;;;Chloroquine phosphate;;;Chloroquine phosphate;;;Chloroquine phosphate;;;Chloroquine phosphate;;;Malarivon;;;NSC-14050;;;SN-7618;;;WR-1522	CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O.O=P(O)(O)O
IOPHENDYLATE	CHEMBL951	4.0	C19H29IO2	Iofendylate;;;Iofendylate;;;Iofendylate;;;Iophendylate;;;Iophendylate;;;Iophendylate;;;Iophendylate;;;Jofendylate;;;Pantopaque	CCOC(=O)CCCCCCCCC(C)c1ccc(I)cc1
CAPSAICIN	CHEMBL294199	4.0	C18H27NO3	ALGRX 4975;;;ALGRX-4975;;;Capsaicin;;;Capsaicin;;;Capsaicin;;;Capsaicin;;;Capsaicin;;;Capsaicin;;;Capsaicin;;;Capsaicin;;;FEMA NO. 3404;;;Ngx-1998;;;NGX-1998;;;NGX-4010;;;NSC-56353;;;Qutenza;;;Zacin;;;Zostrix;;;Zostrix hp	COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
ENTACAPONE	CHEMBL953	4.0	C14H15N3O5	Comtan;;;Comtess;;;Entacapone;;;Entacapone;;;Entacapone;;;Entacapone;;;Entacapone;;;Entacapone;;;Entacapone;;;Entacapone;;;Entacapone;;;Entacapone;;;Entacapone;;;OR-611	CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
CYCLOTHIAZIDE	CHEMBL61593	4.0	C14H16ClN3O4S2	35483;;;Anhydron;;;Cyclothiazide;;;Cyclothiazide;;;Cyclothiazide;;;Cyclothiazide;;;Cyclothiazide;;;Cyclothiazide;;;Fluidil	NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
SUPROFEN	CHEMBL956	4.0	C14H12O3S	Profenal;;;R-25061;;;R-25,061;;;Suprofen;;;Suprofen;;;Suprofen;;;Suprofen;;;Suprofen;;;Suprofen;;;Suprofen;;;Suprofen;;;Sutoprofen	CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1
BOSENTAN	CHEMBL957	4.0	C27H29N5O6S	Bosentan;;;Bosentan;;;Bosentan;;;Bosentan;;;Bosentan;;;Bosentan;;;Bosentan;;;Bosentan;;;Bosentan;;;Bosentan hydrate;;;Bosentan monohydrate;;;Bosentan monohydrate;;;RO 47-0203/029;;;RO-470203029;;;RO-47-0203-029;;;Tracleer	COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
RIMANTADINE	CHEMBL959	4.0	C12H21N	Rimantadin;;;Rimantadine;;;Rimantadine;;;Rimantadine;;;Rimantadine;;;Rimantadine	CC(N)C12CC3CC(CC(C3)C1)C2
LEFLUNOMIDE	CHEMBL960	4.0	C12H9F3N2O2	Arava;;;HWA-486;;;L04AA13;;;Leflunomide;;;Leflunomide;;;Leflunomide;;;Leflunomide;;;Leflunomide;;;Leflunomide;;;Leflunomide;;;Leflunomide;;;Leflunomide;;;Leflunomide;;;Leflunomide;;;SU101;;;SU-101;;;SULOL	Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
SULFADIMETHOXINE	CHEMBL62193	4.0	C12H14N4O4S	Madribon;;;Sulfadimethoxine;;;Sulfadimethoxine;;;Sulfadimethoxine;;;Sulfadimethoxine;;;Sulfadimethoxine;;;Sulfadimethoxine;;;Sulfadimethoxine;;;Sulfadimethoxine;;;Sulphadimethoxine	COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1
PHENYLPROPANOLAMINE	CHEMBL61006	4.0	C9H13NO	Phenylpropanolamine;;;Phenylpropanolamine;;;Phenylpropanolamine	CC(N)C(O)c1ccccc1
EPOPROSTENOL SODIUM	CHEMBL962	4.0	C20H31NaO5	Epoprostenolsodium;;;Epoprostenol sodium;;;Epoprostenol sodium;;;Epoprostenol sodium;;;Epoprostenol sodium;;;Epoprostenol sodium;;;Epoprostenol sodium;;;Epoprostenol sodium;;;Flolan;;;Prostacyclin sodium salt;;;U-53217A;;;U-53,217A;;;Veletri	CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@@H]2O/C(=C\CCCC(=O)[O-])C[C@@H]21.[Na+]
OXYMORPHONE	CHEMBL963	4.0	C17H19NO4	IDS-NO-003;;;NIH 10323;;;NSC-19045;;;Numorphan;;;Opana;;;Oxycodone hydrochloride impurity, oxymorphone-;;;Oxymorphone;;;Oxymorphone;;;Oxymorphone;;;Oxymorphone;;;Oxymorphone;;;Oxymorphone;;;Oxymorphone cii	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
DISULFIRAM	CHEMBL964	4.0	C10H20N2S4	Antabuse;;;Disulfiram;;;Disulfiram;;;Disulfiram;;;Disulfiram;;;Disulfiram;;;Disulfiram;;;Disulfiram;;;Disulfiram;;;Disulfiram;;;Disulfiram;;;Disulfiram;;;Esperal;;;NSC-25953;;;ORA102;;;ORA-102	CCN(CC)C(=S)SSC(=S)N(CC)CC
CARBACHOL	CHEMBL965	4.0	C6H15N2O2+	Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbastat;;;Miostat	C[N+](C)(C)CCOC(N)=O
TEMAZEPAM	CHEMBL967	4.0	C16H13ClN2O2	Kentepam;;;Normison;;;NSC-246303;;;Restoril;;;Temaz;;;Temazepam;;;Temazepam;;;Temazepam;;;Temazepam;;;Temazepam;;;Temazepam;;;Temazepam;;;Temazepam;;;Temazepam;;;Temazepam;;;Temazepam civ;;;WY-3917	CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
FLURAZEPAM	CHEMBL968	4.0	C21H23ClFN3O	Dalmane;;;Flurazepam;;;Flurazepam;;;Flurazepam;;;Flurazepam;;;Flurazepam	CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
PRAZEPAM	CHEMBL969	4.0	C19H17ClN2O	Centrax;;;Demetrin;;;Prazepam;;;Prazepam;;;Prazepam;;;Prazepam;;;Prazepam;;;Prazepam;;;Prazepam;;;Prazepam;;;Prazepam;;;W 4020;;;W-4020	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1
HALAZEPAM	CHEMBL970	4.0	C17H12ClF3N2O	Halazepam;;;Halazepam;;;Halazepam;;;Halazepam;;;Halazepam;;;Halazepam;;;Paxipam;;;SCH 12041;;;SCH-12041	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
PENTOBARBITAL SODIUM	CHEMBL971	4.0	C11H17N2NaO3	Beuthanasia;;;Euthanase;;;Euthatal;;;Nembutal;;;Nembutal sodium;;;Pentobarbital sodium;;;Pentobarbital sodium;;;Pentobarbital sodium;;;Pentobarbital sodium;;;Pentobarbital sodium;;;Pentobarbitone Sodium;;;Sagatal;;;Sodium pentobarbital	CCCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+]
SELEGILINE	CHEMBL972	4.0	C13H17N	Eldepryl;;;Eldepryl;;;Emsam;;;Selegiline;;;Selegiline;;;Selegiline;;;Selegiline;;;Selegiline;;;Selegiline;;;Selegiline;;;Zelapar;;;Zelapar	C#CCN(C)[C@H](C)Cc1ccccc1
TERIFLUNOMIDE	CHEMBL973	4.0	C12H9F3N2O2	A77 1726;;;Aubagio;;;HMR1726;;;HMR-1726;;;Leflunomide related compound b;;;Leflunomide related compound b rs;;;Teriflunomide;;;Teriflunomide;;;Teriflunomide;;;Teriflunomide;;;Teriflunomide;;;Teriflunomide;;;Teriflunomide	C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
MESNA	CHEMBL975	4.0	C2H5NaO3S2	D 7093;;;D-7093;;;Mesna;;;Mesna;;;Mesna;;;Mesna;;;Mesna;;;Mesna;;;Mesna;;;Mesna;;;Mesna;;;Mesna;;;Mesna;;;Mesnex;;;Mistabron;;;NSC-113891;;;Uromitexan	O=S(=O)([O-])CCS.[Na+]
ITRACONAZOLE	CHEMBL64391	4.0	C35H38Cl2N8O4	Itraconazole;;;Itraconazole;;;Itraconazole;;;Itraconazole;;;Itraconazole;;;Itraconazole;;;Itraconazole;;;Itraconazole;;;Itraconazole;;;Itraconazole;;;Itraconazole;;;Itrazole;;;Onmel;;;R 51,211;;;R-51211;;;Sporanos;;;Sporanox;;;Sporanox i.v.;;;Sporanox-pulse;;;Tolsura	CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O
GENTIAN VIOLET	CHEMBL64894	4.0	C25H30ClN3	Crystal violet;;;Crystal violet;;;Genapax;;;Gentian violet;;;Gentian violet;;;Gentian violet;;;Gentian violet;;;GNF-Pf-880;;;GV 11;;;Methylrosaniline chloride;;;Methylrosaniline Cl;;;Methylrosanilinium chloride;;;Methylrosanilinium chloride;;;Methylrosanilinium chloride;;;Methylrosanilinium Cl;;;Methyl violet;;;NSC-3090;;;Pyoktanin;;;Viocid	CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-]
PRAZIQUANTEL	CHEMBL976	4.0	C19H24N2O2	Biltricide;;;Cesol;;;Cestocur;;;Cisticid;;;Cysticide;;;Droncit;;;EMBAY 8440;;;EMBAY-8440;;;EMBAY-8440;;;Praziquantel;;;Praziquantel;;;Praziquantel;;;Praziquantel;;;Praziquantel;;;Praziquantel;;;Praziquantel;;;Praziquantel;;;Praziquantel;;;Praziquantel	O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
HYDROCORTISONE HEMISUCCINATE	CHEMBL977	4.0	C25H34O8	Hydrocortisone Hemisuccinate;;;Hydrocortisone succinate;;;NSC-7576	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O
METHACHOLINE	CHEMBL978	4.0	C8H18NO2+	Methacholine;;;Methacholine;;;Methacholine;;;Provocholine	CC(=O)OC(C)C[N+](C)(C)C
NIMORAZOLE	CHEMBL435966	4.0	C9H14N4O3	K-1900;;;Naxogin 500;;;Nimorazole;;;Nimorazole;;;Nimorazole;;;Nimorazole;;;Nimorazole;;;Nimorazole;;;NSC-107524	O=[N+]([O-])c1cncn1CCN1CCOCC1
MEPROBAMATE	CHEMBL979	4.0	C9H18N2O4	Amosene;;;Bamate;;;Equanil;;;Mepriam;;;Meprobamate;;;Meprobamate;;;Meprobamate;;;Meprobamate;;;Meprobamate;;;Meprobamate;;;Meprobamate;;;Meprobamate;;;Meprobamate;;;Meprospan;;;Miltown;;;Neuramate;;;Tenavoid;;;Tranmep	CCCC(C)(COC(N)=O)COC(N)=O
BECLAMIDE	CHEMBL64195	4.0	C10H12ClNO	Beclamide;;;Beclamide;;;Beclamide;;;Beclamide;;;Beclamide;;;Beclamide;;;Benzchlorpropamide;;;Benzylamide;;;Neuracen;;;Nydrane	O=C(CCCl)NCc1ccccc1
GUAIFENESIN	CHEMBL980	4.0	C10H14O4	Amonidron;;;CVT-2534;;;Famel;;;Franolyn chesty;;;Gecolate;;;Glycerol Guaiacolate;;;Glyceryl guaiacolate;;;Guaiacol glyceryl ether;;;Guaifenesin;;;Guaifenesin;;;Guaifenesin;;;Guaifenesin;;;Guaifenesin;;;Guaifenesin;;;Guaifenesin;;;Guaifenesin;;;Guaifenesin;;;Guaifenesin;;;Guaifenesin;;;Guaiphenesin;;;Guaiphenesin;;;Humabid;;;Liqufruta;;;Methphenoxydiol;;;Mucinex;;;Nirolex for chesty cough decongestant;;;NSC-62112;;;Robitussin;;;Tixylix chesty cough	COc1ccccc1OCC(O)CO
FENOFIBRIC ACID	CHEMBL981	4.0	C17H15ClO4	Fenocor-67;;;Fenofibrate free acid;;;Fenofibrate related compound b;;;Fenofibric acid;;;Fenofibric acid;;;Fenofibric acid;;;Fenogal;;;Fibricor;;;LF-153;;;Lipanthyl;;;Lipofen;;;Lofibra;;;NSC-281318;;;Supralip;;;Trilipix	CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O
NALMEFENE	CHEMBL982	4.0	C21H25NO3	JF-1;;;JKB-121;;;Nalmefene;;;Nalmefene;;;Nalmefene;;;Nalmefene;;;Nalmefene;;;Nalmefene;;;Nalmefene;;;Nalmefene;;;Nalmetrene;;;ORF 1167;;;ORF-1167;;;ORF 11676;;;ORF-11676;;;Revex;;;Selincro;;;SRD174;;;SRD-174	C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
SUCCINYLCHOLINE CHLORIDE	CHEMBL983	4.0	C14H30Cl2N2O4	Anectine;;;NSC-49132;;;Quelicin;;;Quelicin preservative free;;;Scoline;;;Succinylcholine chloride;;;Succinylcholine chloride;;;Succinylcholine chloride;;;Succinylcholine chloride;;;Succinylcholine chloride;;;Succinylcholine chloride;;;Sucostrin;;;Suxamethone;;;Suxamethonium Chloride;;;Suxamethonium chloride;;;Suxamethonium chloride;;;Suxamethonium chloride;;;Suxamethonium chloride;;;Suxamethonium chloride;;;Suxamethonium chloride;;;Suxamethonium chloride dihydrate;;;Suxamethonium chloride hydrate	C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C.[Cl-].[Cl-]
MIVACURIUM CHLORIDE	CHEMBL984	4.0	C58H80Cl2N2O14	BW-1090U DICHLORIDE;;;BWB109OU;;;BW-B109OU;;;BW B109OU DICHLORIDE;;;BW-B109OU DICHLORIDE;;;Mivacron;;;mivacurium;;;Mivacurium chloride;;;Mivacurium chloride;;;Mivacurium chloride;;;Mivacurium chloride;;;Mivacurium chloride;;;Mivacurium chloride;;;Mivacurium chloride;;;Mivacurium chloride;;;Mivacurium chloride	COc1cc2c(cc1OC)[C@@H](Cc1cc(OC)c(OC)c(OC)c1)[N+](C)(CCCOC(=O)CC/C=C/CCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2.[Cl-].[Cl-]
UREA	CHEMBL985	4.0	CH4N2O	Aquadrate;;;Balneum plus;;;Calmurid;;;Carbamide;;;E-927A;;;E927b;;;Eucerin;;;Flexifoot;;;Flexitol;;;Hydromol intensive;;;INS-927A;;;INS NO.927A;;;NSC-34375;;;Nutraplus;;;Sential e;;;Sterile urea;;;St.james balm;;;Urea;;;Urea;;;Urea;;;Urea;;;Urea;;;Urea;;;Urea;;;Ureaphil	NC(N)=O
TIPIRACIL HYDROCHLORIDE	CHEMBL65375	4.0	C9H12Cl2N4O2	TAS-1-462;;;Tipiracil hydrochloride;;;Tipiracil hydrochloride;;;Tipiracil hydrochloride;;;Tipiracil hydrochloride;;;TPI	Cl.N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl
CLOTHIAPINE	CHEMBL304902	4.0	C18H18ClN3S	Clothiapine;;;Clothiapine;;;Clothiapine;;;Clotiapine;;;Clotiapine;;;Clotiapine;;;Clotiapine;;;Clotiapine;;;HF-2159	CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1
PHENOLPHTHALEIN	CHEMBL63857	4.0	C20H14O4	Alophen;;;Ex-lax;;;Phenolphthalein;;;Phenolphthalein;;;Phenolphthalein;;;Phenolphthalein;;;Phenolphthalein;;;Prulet	O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
IFENPRODIL	CHEMBL305187	4.0	C21H27NO2	Ifenprodil;;;Ifenprodil;;;Ifenprodil;;;Ifenprodil;;;Ifenprodil;;;Ifenprodil tartrate;;;Ifenprodil tartrate;;;NP-120;;;RC 61-91;;;RC-61-91;;;Vadilex	CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1
RETINOL	CHEMBL986	4.0	C20H30O	Aquasol a;;;Arovit;;;Nepalm;;;NSC-122759;;;Oleovitamin a;;;Retinol;;;Retinol;;;Retinol;;;Retinol;;;Retinol;;;Retinol;;;Retinol acetate;;;Retinol palmitate;;;Retinol (vit a);;;Ro-a-vit;;;Vitamin A;;;Vitamin A;;;Vitamin a;;;Vitamin a;;;Vitamin a;;;Vitamin a;;;Vitamin A 1;;;Vitamin a oil;;;Vitamin A Solubilized	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
CEFPIROME	CHEMBL65794	4.0	C22H22N6O5S2	Cefpirome;;;Cefpirome;;;Cefpirome;;;Cefpirome;;;Cefpirome;;;HR-810 FREE BASE	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1
